ministerio,titular,inicio_str,fin_str,inicio,fin
Transportes y Comunicaciones,Bruno Giuffra Monteverde,23 de marzo de 2018,28 de marzo de 2018,2018-03-23,2018-03-28
Transportes y Comunicaciones,Edmer Trujillo Mori,28 de marzo de 2018,14 de abril de 2019,2018-03-28,2019-04-14
Transportes y Comunicaciones,María Jara Risco,26 de abril de 2019,30 de setiembre de 2019,2019-04-26,2019-09-30
Transportes y Comunicaciones,Edmer Trujillo Mori,3 de octubre de 2019,13 de febrero de 2020,2019-10-03,2020-02-13
Transportes y Comunicaciones,Carlos Eduardo Lozada Contreras,13 de febrero de 2020,NA,2020-02-13,NA
"Vivienda, Construcción y Saneamiento",Carlos Bruce Montes de Oca,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
"Vivienda, Construcción y Saneamiento",Javier Piqué del Pozo,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
"Vivienda, Construcción y Saneamiento",Carlos Bruce Montes de Oca,11 de marzo de 2019,14 de abril de 2019,2019-03-11,2019-04-14
"Vivienda, Construcción y Saneamiento",Miguel Estrada Mendoza,26 de abril de 2019,30 de setiembre de 2019,2019-04-26,2019-09-30
"Vivienda, Construcción y Saneamiento",Rodolfo Yáñez Wendorff,3 de octubre de 2019,NA,2019-10-03,NA
Mujer y Poblaciones Vulnerables,Ana María Choquehuanca,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Mujer y Poblaciones Vulnerables,Ana María Mendieta Trefogli,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Mujer y Poblaciones Vulnerables,Gloria Montenegro Figueroa,11 de marzo de 2019,,2019-03-11,NA
Ambiente,Elsa Galarza Contreras,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Ambiente,Fabiola Muñoz Dodero,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Ambiente,Lucía Ruiz Ostoic,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Ambiente,Fabiola Muñoz Dodero,3 de octubre de 2019,,2019-10-03,NA
Cultura,Alejandro Neyra Sánchez,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Cultura,Patricia Balbuena Palacios,2 de abril de 2018,30 de noviembre de 2018,2018-04-02,2018-11-30
Cultura,Rogers Martín Valencia Espinoza,18 de diciembre de 2018,11 de marzo de 2019,2018-12-18,2019-03-11
Cultura,Ulla Holmquist Pachas,11 de marzo de 2019,8 de julio de 2019,2019-03-11,2019-07-08
Cultura,Luis Jaime Castillo Butters,8 de julio de 2019,30 de setiembre de 2019,2019-07-08,2019-09-30
Cultura,Francesco Petrozzi Franco,3 de octubre de 2019,4 de diciembre de 2019,2019-10-03,2019-12-04
Cultura,Sonia Elizabeth Guillén Oneeglio,7 de diciembre de 2019,NA,2019-12-07,NA
Desarrollo e Inclusión Social,Jorge Meléndez Celis,23 de marzo de 2018,2 de abril de 2018,2018-03-23,2018-04-02
Desarrollo e Inclusión Social,Liliana La Rosa Huertas,2 de abril de 2018,11 de marzo de 2019,2018-04-02,2019-03-11
Desarrollo e Inclusión Social,Paola Bustamante Suárez,11 de marzo de 2019,30 de setiembre de 2019,2019-03-11,2019-09-30
Desarrollo e Inclusión Social,Jorge Meléndez Celis,3 de octubre de 2019,27 de octubre de 2019,2019-10-03,2019-10-27
Desarrollo e Inclusión Social,Ariela Luna Florez,29 de octubre de 2019,NA,2019-10-29,NA
